="Panel B: Treatment Effects on Education Levels - Teen Pregnancies"
="",="(0.0323)",="(0.0266)",="(0.0369)",="(0.0065)",="(0.0323)",="(0.0360)"
="",="0.5399",="0.2832",="0.1979",="0.8966",="0.5399",="0.1788"
="",="0.6132",="1.0738",="-1.2884",="-0.1299",="-0.6132",="-1.3452"
="_cons",="0.2184**",="-0.1209",="0.8017***",="0.1008***",="0.7816***",="0.9025***"
="",="(0.0793)",="(0.0679)",="(0.0895)",="(0.0283)",="(0.0793)",="(0.0872)"
="",="0.0060",="0.0754",="0.0000",="0.0004",="0.0000",="0.0000"
="",="2.7542",="-1.7798",="8.9615",="3.5672",="9.8589",="10.3554"
="Observations",="12941",="12941",="12941",="12941",="12941",="12941"
="R-squared",="0.4318",="0.2063",="0.4417",="0.2243",="0.4318",="0.4705"
="Adjusted R-squared",="0.3786",="0.1320",="0.3895",="0.1517",="0.3786",="0.4210"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Full specification (x5) used for all education levels"
