="Panel B: Treatment Effects on Education Levels - ALL WOMEN"
="",="(0.0156)",="(0.0106)",="(0.0179)",="(0.0095)",="(0.0156)",="(0.0153)"
="",="0.3991",="0.0098",="0.6614",="0.4998",="0.3991",="0.3510"
="",="-0.8435",="2.5867",="-0.4381",="-0.6749",="0.8435",="-0.9331"
="_cons",="0.2438***",="-0.0150",="0.3272***",="0.4440***",="0.7562***",="0.7712***"
="",="(0.0435)",="(0.0345)",="(0.0537)",="(0.0318)",="(0.0435)",="(0.0462)"
="",="0.0000",="0.6637",="0.0000",="0.0000",="0.0000",="0.0000"
="",="5.6090",="-0.4350",="6.0927",="13.9649",="17.3973",="16.7004"
="Observations",="37762",="37762",="37762",="37762",="37762",="37762"
="R-squared",="0.3934",="0.1305",="0.2787",="0.4461",="0.3934",="0.4490"
="Adjusted R-squared",="0.3721",="0.1001",="0.2534",="0.4267",="0.3721",="0.4297"
="Cells: Coefficient (starred) | SE (parentheses) | p-value | t-statistic"
="*** p<0.01, ** p<0.05, * p<0.10"
="Full specification (x5) used for all education levels"
="Sample: ALL WOMEN"
