
="",="(1)",="(2)"
="",="Rural",="Urban"

="past_group",="-0.120***",="-0.086***"
="",="(0.017)",="(0.014)"

="TC_noborder",="0.089***",="0.060***"
="",="(0.013)",="(0.019)"

="N",="23989",="13762"
="r2_a",="0.397",="0.388"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
